Date,Positve,Negative,Neutral,Total
2019-09-10,34.98596819457437,9.728718428437793,55.28531337698784,1069
2019-09-11,32.643884892086334,10.431654676258994,56.92446043165467,1112
2019-09-12,32.67909715407262,12.26692836113837,55.05397448478901,1019
2019-09-13,36.042402826855124,12.014134275618375,51.9434628975265,849
2019-09-14,35.37832310838446,11.860940695296524,52.760736196319016,489
2019-09-15,31.70731707317073,8.362369337979095,59.930313588850176,574
2019-09-16,38.372093023255815,11.337209302325581,50.2906976744186,1032
2019-09-17,36.40081799591002,10.32719836400818,53.2719836400818,978
2019-09-18,33.502024291497975,10.425101214574898,56.072874493927124,988
2019-09-19,36.64596273291925,8.873114463176575,54.48092280390417,1127
2019-09-20,35.675182481751825,13.503649635036496,50.82116788321168,1096
2019-09-21,39.20552677029361,7.772020725388601,53.02245250431779,579
