date,open,low,high,volume,close,Name,Positve,Negative,Neutral,Total,,
11/7/2017,1124.74,1117.5,1130.6,2623474,1123.17,AMZN,38.97637795,10.23622047,50.78740157,1016,,
11/9/2017,1125.96,1115.77,1129.62,3661411,1129.13,AMZN,28.59633827,9.677419355,61.72624237,1147,,
11/10/2017,1126.1,1124.06,1131.75,2162985,1125.35,AMZN,37.64961915,10.77257889,51.57780196,919,,
11/13/2017,1123,1122.34,1139.9,2897563,1129.17,AMZN,39.64879852,7.948243993,52.40295749,1082,,
11/14/2017,1130.11,1123.89,1138,3042295,1136.84,AMZN,37.57575758,7.196969697,55.22727273,1320,,
11/15/2017,1127.01,1121.63,1131.75,3897230,1126.69,AMZN,49.22349764,9.047940581,41.72856178,1481,,
11/16/2017,1130.16,1130.05,1138.16,2190456,1137.29,AMZN,34.95883471,7.663077897,57.3780874,1579,,
11/17/2017,1138.28,1125.81,1138.8,2333554,1129.88,AMZN,41.15555556,12.17777778,46.66666667,1125,,
11/20/2017,1129.77,1122.55,1133.42,2134381,1126.31,AMZN,32.51028807,9.053497942,58.43621399,243,,
11/21/2017,1132.86,1128.2,1140,2449503,1139.49,AMZN,37.02848345,10.23864511,52.73287144,1299,,
11/22/2017,1141,1141,1160.27,3516336,1156.16,AMZN,30.84648494,8.823529412,60.32998565,1394,,
11/24/2017,1160.7,1160.7,1186.84,3526582,1186,AMZN,45.44568924,17.04822211,37.50608865,2053,,
11/27/2017,1202.66,1191.15,1213.41,6701343,1195.83,AMZN,35.19337017,11.71270718,53.09392265,1810,,
11/28/2017,1204.88,1188.52,1205.34,4463476,1193.6,AMZN,41.24137931,11.37931034,47.37931034,1450,,
11/29/2017,1194.8,1145.19,1194.8,9179567,1161.27,AMZN,44.53618261,11.1704711,44.29334628,2059,,
11/30/2017,1167.1,1160,1178.57,4406535,1176.75,AMZN,34.74952441,11.85795815,53.39251744,1577,,
12/1/2017,1172.05,1152,1179.65,4070722,1162.35,AMZN,37.7254902,12.39215686,49.88235294,1275,,
12/4/2017,1173.85,1128,1175.2,5872358,1133.95,AMZN,29.93680885,15.79778831,54.26540284,3798,,
12/5/2017,1128.26,1124.74,1159.27,4033184,1141.57,AMZN,35.41076487,10.19830028,54.39093484,4236,,
12/6/2017,1137.99,1136.08,1155.89,2756730,1152.35,AMZN,47.38834217,6.737320212,45.87433762,3963,,
12/7/2017,1156.59,1151,1163.19,2408323,1159.79,AMZN,40.625,6.332236842,53.04276316,3648,,
12/8/2017,1170.4,1157.1,1172.79,2957785,1162,AMZN,36,5.826086957,58.17391304,3450,,
12/11/2017,1164.6,1157,1169.9,2257922,1168.92,AMZN,40.32258065,7.917888563,51.75953079,2046,,
12/12/2017,1166.51,1161.61,1173.6,2197697,1165.08,AMZN,42.45901639,10,47.54098361,610,,
12/13/2017,1170,1160.27,1170.87,2555053,1164.13,AMZN,40.4494382,2.247191011,57.30337079,89,,
12/14/2017,1163.71,1162.45,1177.93,3069993,1174.26,AMZN,40.52111411,9.164420485,50.31446541,1113,,
12/15/2017,1179.03,1169.33,1182.75,4539895,1179.14,AMZN,44.00826446,8.987603306,47.00413223,968,,
12/18/2017,1187.37,1180.91,1194.78,2767271,1190.58,AMZN,37.2651357,7.306889353,55.42797495,958,,
12/19/2017,1189.15,1179.14,1192.97,2555235,1187.38,AMZN,43.71316306,8.251473477,48.03536346,1018,,
12/20/2017,1190.5,1176,1191,2318916,1177.62,AMZN,44.80746791,4.667444574,50.52508751,857,,
12/21/2017,1175.9,1167.64,1179.17,2042448,1174.76,AMZN,42.85714286,1.428571429,55.71428571,70,,
12/22/2017,1172.08,1167.83,1174.62,1553997,1168.36,AMZN,35.11530398,11.32075472,53.5639413,954,,
12/26/2017,1168.36,1160.55,1178.32,1964871,1176.76,AMZN,44.63028169,5.105633803,50.26408451,1136,,
12/27/2017,1179.91,1175.61,1187.29,1779382,1182.26,AMZN,43.92624729,5.965292842,50.10845987,922,,
12/28/2017,1189,1184.38,1190.1,1803460,1186.1,AMZN,35.53875236,15.78449905,48.67674858,1058,,
12/29/2017,1182.35,1167.5,1184,2625283,1169.47,AMZN,39.04109589,13.78424658,47.17465753,1168,,
1/2/2018,1172,1170.51,1190,2587899,1189.01,AMZN,34.09090909,11.62587413,54.28321678,1144,,
1/3/2018,1188.3,1188.3,1205.49,3044664,1204.2,AMZN,33.3012512,8.277189605,58.42155919,1039,,
1/4/2018,1205,1204.66,1215.87,3000366,1209.59,AMZN,35.17635844,9.342230696,55.48141087,1049,,
1/5/2018,1217.51,1210,1229.14,3430148,1229.14,AMZN,52.54403131,6.653620352,40.80234834,1022,,
1/8/2018,1236,1232.03,1253.08,4177533,1246.87,AMZN,43.75523889,6.370494552,49.87426655,1193,,
1/9/2018,1256.9,1241.76,1259.33,3646681,1252.7,AMZN,42.33278956,4.730831974,52.93637847,1226,,
1/10/2018,1245.15,1237.23,1254.33,2659507,1254.33,AMZN,37.72775991,9.860664523,52.41157556,933,,
1/11/2018,1259.74,1256.46,1276.77,3075315,1276.68,AMZN,41.53577661,5.846422339,52.61780105,1146,,
1/12/2018,1273.39,1273.39,1305.76,5360681,1305.2,AMZN,40.64777328,7.449392713,51.90283401,1235,,
1/16/2018,1323,1292.3,1339.94,7111172,1304.86,AMZN,36.76333022,8.606173994,54.63049579,1069,,
1/17/2018,1312.24,1280.88,1314,5166748,1295,AMZN,46.68094218,7.708779443,45.61027837,934,,
1/18/2018,1293.95,1284.02,1304.6,3941007,1293.32,AMZN,42.6152948,10.39112668,46.99357852,1713,,
1/19/2018,1312,1292.99,1313,4395070,1294.58,AMZN,32.84671533,8.102189781,59.05109489,1370,,
1/22/2018,1297.17,1296.66,1327.45,3970151,1327.31,AMZN,37.79803647,7.082748948,55.11921459,1426,,
1/23/2018,1338.09,1337.34,1364.9,5056764,1362.54,AMZN,37.04,10.08,52.88,1250,,
1/24/2018,1374.82,1338,1388.16,6730084,1357.51,AMZN,32.70868825,9.199318569,58.09199319,1174,,
1/25/2018,1368,1357.62,1378.34,4621862,1377.95,AMZN,16.4960182,3.905953735,79.59802806,2637,,
1/26/2018,1392.01,1380.91,1402.53,4584082,1402.05,AMZN,10.30356747,3.168623975,86.52780855,4513,,
1/29/2018,1409.18,1400.44,1431.39,5628992,1417.68,AMZN,35.37214444,8.474576271,56.15327929,1357,,
1/30/2018,1403.17,1392,1439.25,5736512,1437.82,AMZN,36.61248931,11.33447391,52.05303678,2338,,
1/31/2018,1451.3,1450.04,1472.58,6220396,1451.65,AMZN,32.62135922,7.912621359,59.46601942,2060,,
2/1/2018,1445,1385.14,1459.88,7812953,1390,AMZN,36.01127555,12.79069767,51.19802678,2838,,
2/2/2018,1477.39,1414,1498,10915962,1431,AMZN,38.94823336,10.7641742,50.28759244,2434,,
2/5/2018,1402.62,1320.72,1458.98,10756332,1396.62,AMZN,36.95797198,12.6084056,50.43362241,1499,,
2/6/2018,1361.46,1351.79,1443.99,10773963,1442.84,AMZN,39.39114391,8.763837638,51.84501845,1084,,
2/7/2018,1449,1415.15,1460.99,7066828,1416.78,AMZN,38.06818182,9.185606061,52.74621212,1056,,
2/8/2018,1429.67,1349.94,1433.75,8108560,1350.47,AMZN,48.22373394,9.750566893,42.02569917,1323,,
2/9/2018,1373.49,1265.93,1383.5,13787886,1338.99,AMZN,38.74471937,8.811104406,52.44417622,1657,,
2/12/2018,1364.67,1344.01,1393.81,6682214,1386.23,AMZN,40.472879,11.89151599,47.63560501,1438,,
2/13/2018,1385.93,1383.53,1419.72,5858860,1414.51,AMZN,40.25423729,7.627118644,52.11864407,1416,,
2/14/2018,1406.25,1403.36,1452.06,5881238,1451.05,AMZN,38.92068684,8.99427637,52.08503679,1223,,
2/15/2018,1466.89,1436.84,1468.94,5598111,1461.76,AMZN,43.03482587,10.61359867,46.35157546,1206,,
2/16/2018,1457.37,1446.56,1465.8,4410879,1448.69,AMZN,35.70658037,12.29773463,51.99568501,927,,
2/20/2018,1446.49,1446.49,1488.77,6388374,1468.35,AMZN,37.79193206,10.40339703,51.80467091,1413,,
2/21/2018,1485,1478.92,1503.49,6216694,1482.92,AMZN,39.94029851,8.597014925,51.46268657,1675,,
2/22/2018,1495.36,1475.76,1502.54,4732555,1484.76,AMZN,41.75217048,9.471191792,48.77663773,1267,,
2/23/2018,1495.34,1486.5,1500,4327008,1500,AMZN,40.37433155,9.803921569,49.82174688,1122,,
2/26/2018,1509.2,1507,1522.84,4909053,1521.95,AMZN,37.60330579,9.917355372,52.47933884,1210,,
2/27/2018,1524.5,1507.21,1526.78,4708378,1511.98,AMZN,39.92094862,10.67193676,49.40711462,1265,,
2/28/2018,1519.51,1512,1528.7,4426580,1512.45,AMZN,40.53133515,10.626703,48.84196185,1468,,
3/1/2018,1513.6,1465,1518.49,6835230,1493.45,AMZN,36.69491525,14.83050847,48.47457627,1180,,
3/2/2018,1469.1,1455.01,1501.05,6587564,1500.25,AMZN,37.31942215,10.11235955,52.5682183,1246,,
3/5/2018,1494.24,1481,1525.38,5233934,1523.61,AMZN,38.27418232,7.79401531,53.93180237,1437,,
3/6/2018,1533.2,1528,1542.13,4561718,1537.64,AMZN,45.23460411,6.818181818,47.94721408,1364,,
3/7/2018,1526.52,1522.51,1545.9,4174123,1545,AMZN,38.16725979,9.786476868,52.04626335,1124,,
3/8/2018,1550,1545.25,1554.88,3512528,1551.86,AMZN,37.22172752,8.726625111,54.05164737,1123,,
3/9/2018,1563.5,1559.08,1578.94,4417059,1578.89,AMZN,39.4655704,10.99691675,49.53751285,973,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
