Date,Low,High,Volume,Close
5/19/2014,293.81,299,2284200,296.755
5/20/2014,296.75,304.46,4095700,301.19
5/21/2014,301.5201,305.96,3408800,305.01
5/22/2014,303.01,308.54,2576800,304.91
5/23/2014,304.9,312.35,3052900,312.24
5/27/2014,307.38,314.6296,4862100,310.82
5/28/2014,307.42,313.82,2726000,310.16
5/29/2014,310.2,314.87,2365500,313.78
5/30/2014,307.57,314.65,4260200,312.55
6/2/2014,307,312.6,2203400,308.84
6/3/2014,305.07,307.92,2379200,307.19
6/4/2014,303.84,309.5,2107100,306.78
6/5/2014,306.9,327.94,7796700,323.57
6/6/2014,324.93,330.88,5244000,329.67
6/9/2014,325.65,333,3212200,327.5
6/10/2014,327.5,335.5,3663400,332.41
6/11/2014,333.8772,340.7199,4436800,335.2
6/12/2014,324.66,335.55,4263000,325.91
6/13/2014,323.5262,329.298,2764800,326.27
6/16/2014,323.52,328.6945,2396100,327.62
6/17/2014,325.23,331.34,2904200,325.62
6/18/2014,325,335.75,6401500,334.38
6/19/2014,325.98,338.9,5320600,327
6/20/2014,320.42,328.22,6054000,324.2
6/23/2014,321.41,327.55,2604800,327.24
6/24/2014,322.738,329.73,2626600,324.16
6/25/2014,321.74,328.15,2327800,327.44
6/26/2014,322.13,328.65,2699500,325.69
6/27/2014,323.27,326.52,2416200,324.57
6/30/2014,322.24,326.98,2671300,324.78
7/1/2014,325.1,333.2,3173600,332.39
7/2/2014,331.66,336.76,2681300,332.85
7/3/2014,333.08,338.3,1944300,337.492
7/7/2014,332.52,337.55,2128900,333.55
7/8/2014,321.4,333.7397,4271600,323.81
7/9/2014,323.15,330.2,3166100,329.97
7/10/2014,322.65,329.98,2665000,327.92
7/11/2014,334.71,347,8300800,346.2
7/14/2014,345.356,355.77,5609900,355.32
7/15/2014,349.4,355.59,4170900,354.44
7/16/2014,353,359.32,3503600,355.9
7/17/2014,351.38,356.96,3636000,352.454
7/18/2014,352.08,359.68,3407400,358.66
7/21/2014,356.72,361.71,2278400,359.76
7/22/2014,355.25,362.93,2888900,360.84
7/23/2014,356.62,360.63,2687300,358.14
7/24/2014,358.52,364.85,7000000,358.61
7/25/2014,314.76,324.87,17846500,324.01
7/28/2014,316.5,324.82,5932000,320.41
7/29/2014,319.5,322.8999,2883800,320
7/30/2014,318.5,322.73,3969000,322.51
7/31/2014,311.86,320.6836,5192000,312.99
8/1/2014,304.588,315.83,7441500,307.06
8/4/2014,308.5,316.18,4200900,313.65
8/5/2014,310.06,314.55,2852100,312.32
8/6/2014,310.2,315.78,2296900,313.89
8/7/2014,309.655,315.8774,2935600,311.45
8/8/2014,310.66,317.32,2705900,316.8
8/11/2014,316.88,320.38,2468600,318.33
8/12/2014,316.95,321.31,1915800,319.32
8/13/2014,326.14,331.72,4939100,326.28
8/14/2014,326.71,334.09,3420400,333.21
8/15/2014,328.32,335,3896700,333.63
8/18/2014,333.77,337.8,2485400,334.53
8/19/2014,333.01,335.81,1713800,335.13
8/20/2014,334.022,337.16,1810500,335.78
8/21/2014,332.23,336.582,1971100,332.91
8/22/2014,330.8,334.08,2211200,331.59
8/25/2014,332.71,336.77,1957700,334.02
8/26/2014,334.55,344.36,3638200,341.83
8/27/2014,341.34,346.67,2961600,343.18
8/28/2014,338.8,341.79,2252700,340.02
8/29/2014,337.68,341.8199,1939500,339.04
9/2/2014,337.1587,342.5,2326000,342.38
9/3/2014,337.55,343.27,1993700,339
9/4/2014,343.58,349.38,3952200,345.95
9/5/2014,342.5,346.827,2107000,346.38
9/8/2014,339.04,345.81,2955300,342.34
9/9/2014,329.18,341.76,4634000,329.75
9/10/2014,328.82,334.98,3797400,331.33
9/11/2014,326.39,333.01,2720200,330.52
9/12/2014,328.79,332.89,3429300,331.19
9/15/2014,319,331.33,4000400,323.89
9/16/2014,320.1,329.48,3259900,327.76
9/17/2014,321.52,328,4136000,324
9/18/2014,323.7105,327.1,2576900,325
9/19/2014,325.57,332.7559,6886200,331.32
9/22/2014,321.06,329.49,3109700,324.5
9/23/2014,321.25,327.6,2352600,323.63
9/24/2014,319.56,329.44,2635754,328.21
9/25/2014,321.4,328.54,2925241,321.93
9/26/2014,317.64,323.5,3639155,323.21
9/29/2014,319,323.75,1929589,321.82
9/30/2014,318.51,323.43,2639967,322.44
10/1/2014,315.55,322.165,3096735,317.46
10/2/2014,311.31,318.53,3553944,318.41
10/3/2014,319.53,325.16,3037891,322.74
10/6/2014,319.6,324.13,2294194,322.2
10/7/2014,316.67,322,2365698,316.98
10/8/2014,314.14,324.11,3458960,322.7
10/9/2014,314.52,322.271,3589464,315.37
10/10/2014,311.38,317.77,3684314,311.39
10/13/2014,303.47,313.2,4369850,306.45
10/14/2014,305.75,312.24,3385809,308.31
10/15/2014,299.102,307.9,5348254,305.97
10/16/2014,293.83,306.82,4731866,302.86
10/17/2014,302.72,309.2,4409218,303.64
10/20/2014,302.02,306.53,3239490,306.21
10/21/2014,307.07,315.64,3563351,315.33
10/22/2014,312.64,318.98,3130049,312.97
10/23/2014,311.4,316.8,9038193,313.18
10/24/2014,284,293.81,19805911,287.06
10/27/2014,285.02,290.42,5950594,289.97
10/28/2014,289.76,298,5576646,295.59
10/29/2014,293.0701,299.61,4883259,294.12
10/30/2014,292.36,299.74,4055155,299.07
10/31/2014,301.5,305.72,4551795,305.46
11/3/2014,303.24,308.01,3244150,305.72
11/4/2014,300.17,304.25,3427384,302.81
11/5/2014,294.16,304,4674492,296.52
11/6/2014,292.29,297,3758121,296.64
11/7/2014,296.29,299.99,2647352,299.86
11/10/2014,300,305.799,2809056,305.11
11/11/2014,303.646,312.38,3807333,312.01
11/12/2014,308.79,312.58,2182982,311.51
11/13/2014,311.51,317.89,3686428,316.48
11/14/2014,316.401,332.88,8877785,327.82
11/17/2014,318.03,328,4784933,323.05
